职业名称,职业大类,典型技能
销售总监,销售,谈判:8|团队管理:7|市场分析:8|客户关系:7
财务主管,财会/审计,财务管理:7|团队管理:6|预算控制:7|财务分析:7
教师,教育/科研,教学:6|课程设计:5|学生管理:5|沟通引导:5
大学教授,教育/科研,学术研究:8|教学:7|论文写作:8|科研管理:7
科研人员,教育/科研,实验设计:7|数据分析:7|论文写作:7|技术创新:6
培训讲师,教育/科研,培训授课:6|课程开发:5|演讲表达:6|互动引导:5
幼儿园老师,教育/科研,幼儿教育:5|游戏教学:4|沟通能力:5|耐心:6
保安,服务业,安保:4|巡逻:3|应急处理:3|观察力:4
厨师,服务业,烹饪:7|菜单设计:5|食材管理:5|食品安全:5
餐厅服务员,服务业,服务:3|沟通:3|多任务处理:4|礼仪:2
酒店前台,服务业,客户服务:4|系统操作:3|沟通:4|多语言:3
导游,服务业,导游讲解:5|沟通:5|应急处理:4|历史文化:5
健身教练,服务业,健身指导:6|运动科学:5|营养知识:4|激励沟通:5
美容师,服务业,美容技术:6|皮肤护理:5|客户沟通:4|产品知识:4
保洁员,服务业,清洁:2|卫生规范:3|设备使用:2|细心:3
出租车司机,交通运输,驾驶:5|路线规划:5|车辆维护:4|客户服务:3
飞行员,交通运输,飞行技术:8|应急处置:8|导航:7|气象知识:6
货运司机,交通运输,驾驶:6|车辆维护:5|路线规划:5|货物安全:4
列车员,交通运输,客户服务:4|安全规范:4|应急处理:3|沟通:3
地铁司机,交通运输,驾驶:5|应急处置:5|信号系统:4|安全规范:5
公务员,政府机构,政策理解:4|公文写作:4|行政执行:4|沟通协调:3
政策研究员,政府机构,政策分析:6|研究报告:6|数据分析:5|行业洞察:5
政务专员,政府机构,政务服务:4|窗口业务:4|法规知识:3|沟通协调:3
军人,军人/警察,战术:6|格斗:6|枪械:6|纪律:7
警察,军人/警察,侦查:6|格斗:5|法律知识:5|危机处理:6
军事教官,军人/警察,战术教学:7|格斗:7|枪械:7|领导力:7
消防员,军人/警察,消防救援:6|应急处理:6|体能与耐力:7|急救:5
农民,农林牧渔,种植:4|农业机械:3|农时管理:4|作物知识:4
园艺师,农林牧渔,园艺设计:5|植物养护:5|景观规划:4|季节管理:4
畜牧师,农林牧渔,畜牧养殖:5|疫病防控:5|饲料配比:4|繁殖管理:4
农业技术员,农林牧渔,农业技术:5|病虫害防治:4|土壤管理:4|推广培训:3
渔业技术员,农林牧渔,水产养殖:5|水质管理:4|渔业资源:4|捕捞技术:3
自由职业者,自由职业,自我管理:5|多技能:4|客户拓展:4|时间管理:5
个体户,自由职业,经营管理:5|客户关系:5|成本控制:4|市场营销:4
自媒体创作者,自由职业,内容创作:6|社交媒体:5|粉丝运营:4|视频制作:5
网约车司机,自由职业,驾驶:4|客户服务:4|路线规划:4|时间管理:5
大学生,在校学生,学习:4|研究:3|时间管理:3|沟通:3
研究生,在校学生,学术研究:5|论文写作:5|实验:4|数据分析:4
中学生,在校学生,学习:3|时间管理:2|沟通:2|自律:2
待业人员,待业,求职技能:2|学习能力:3|时间管理:3|自我管理:2
家庭主妇/主夫,待业,家务管理:4|时间管理:4|理财:3|烹饪:4
退休人员,待业,生活经验:6|耐心:5|观察力:5|手工:3
