编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,节奏类型,情绪调动手法,毒点
PA-011,plan|write,节奏,知识补充,卷间衔接|前情回顾|下卷预告|卷末过渡,卷间怎么衔接|前情回顾怎么写|下卷预告怎么吊人,全部,回顾只提最关键的变化和未解悬念，预告只给方向和新压迫，不要把新卷底牌提前说光。,卷间衔接要同时服务老读者回忆和新读者接入，用回顾收束上一卷，用预告拉起下一卷期待。,最稳的做法是提三到五个关键变化，再把下一卷的敌人、地图或真相点到即止，而不是把整卷复述一遍。,卷间回顾预告,关键事件提纯|未解悬念回点|新卷方向诱饵,把上一卷复述成流水账|预告剧透过量|完全不照顾遗忘读者
PA-012,plan|write,节奏,知识补充,修罗场|多方对峙|争风吃醋|喜剧冲突,修罗场怎么升级|多方对峙怎么排|恋爱喜剧冲突怎么加码,现言|幻言|衍生,让每个参与者带着不同优势和诉求入场，并持续抬高尴尬值和冲突密度，不要只重复吵同一句话。,多方修罗场要靠持续加码的误会、身份优势和主角受难感制造笑点，而不是单纯互骂。,最稳的节拍是先双人对撞，再三方误解，最后多人同场把尴尬和危险一起推到峰值。,修罗场多方加压期,多方同时入场|优势各显神通|主角受难反差,角色只会重复同一种吃醋台词|主角完全没有夹心压力|场面乱但不好笑
PA-013,plan|write,节奏,知识补充,首杀争夺|全服公告|进度竞争|世界首杀,首杀怎么写|抢首杀怎么制造紧张|世界首杀节奏怎么控,游戏|衍生,把进度竞速、灭团风险和独家奖励绑在一起写，让每一秒都像在和全服赛跑。,首杀争夺的爽点来自时间压强、竞争对手逼近和全服公告式的最终兑现。,隐藏机制、最后一击、频道爆炸和独占称号都能抬高情绪，但前提是先让读者感到失误一次就会满盘皆输。,首杀争夺冲刺期,限时竞速|灭团风险|全服公告兑现,竞争对手毫无存在感|机制没有失败压力|奖励太轻撑不起首杀重量
PA-014,plan|write,节奏,知识补充,大逃杀|安全区收缩|毒圈|生存竞赛,大逃杀节奏怎么控|毒圈怎么推动剧情|吃鸡副本怎么不拖,游戏|悬疑|科幻|衍生,用安全区收缩、空投和临时结盟持续压缩选择空间，让幸存者数量和地图范围一起变小。,大逃杀类节奏要靠地图收缩和随机变量不断逼迫角色移动、结盟和背叛，不能长期窝点发育不见人。,安全区每轮变化都该带来新的资源竞争、路线冲突和人性试探，才能把生存赛写出持续张力。,收缩圈生存淘汰期,安全区缩小|空投诱饵|临时结盟再背刺,地图收缩只是背景板|角色长期龟缩不接触|随机机制完全没有后果
PA-015,plan|write,节奏,知识补充,失忆线|身份重构|记忆碎片|真身揭露,失忆剧情怎么排|身份重构怎么吊着读者|记忆碎片怎么放,悬疑|都市|科幻|奇幻,本能反应先于真相揭露，记忆碎片要逐层加码，并让新羁绊和旧身份持续对撞。,失忆身份线最稳的节奏是先给异常本能和碎片线索，再把旧身份的恶性或任务一点点逼近现在的人际关系。,不要太早揭底，也不要一直拖着不揭；每隔一个阶段都要给读者新的拼图和更高 stakes。,失忆身份重构弧,本能异常|记忆碎片|新旧身份冲突升级,线索重复不升级|真相拖太久失去兴趣|揭露后对现有人际没有冲击
PA-016,plan|write,节奏,知识补充,学院大考|震惊教授|逐题升级|考试反转,学院考试怎么写爽|答题震教授怎么排|学霸流考试节奏,衍生|玄幻|都市,先用常规题稳住，再用非常规题或创新答案抬升震撼，别一上来就满分无脑碾压。,学院大考类爽点要逐题抬高，让主角从稳定发挥走向非常规破题，惊艳感会更足。,最好先建立考题难度和全场预期，再让主角在教授都犹豫的节点给出独特正确解法。,学院大考逐题抬升期,难题递进|非常规答案|全场预期被连续改写,考题没有难度基准|主角一出手就直接封神|围观反应全靠夸张尖叫
PA-017,plan|write,节奏,知识补充,系统降临|全球公告|末世开局|游戏化开篇,系统降临开篇怎么抓人|全球公告怎么有压迫|末世开头节奏,科幻|悬疑|衍生,宣告要短、冷、硬，规则落地后立刻给出第一波集体混乱或伤亡，禁止公告完还在原地解释。 ,全球系统化开篇的节奏要在几句宣告内完成旧秩序崩塌，并马上用第一轮异变兑现规则不是吓唬人。,最怕的是公告很响却迟迟没有行动后果；真正抓人的写法是宣告和灾变几乎同步发生。,系统降临开篇崩盘期,冷酷宣告|集体异变|旧世界瞬间失效,公告过长像设定说明|宣告后无即时后果|主角和旁观者都反应过慢
PA-018,plan|write,节奏,知识补充,卷章平衡|四任务平衡|防注水|章功能分配,怎么防注水章|一章功能怎么平衡|卷章任务怎么排,全部,连续多章里至少轮换剧情推进、人物变化、信息揭露和情绪兑现，避免一整卷只有同一种推进方式。,长篇最常见的注水问题不是没事发生，而是很多章只做同一种事，导致读者感觉一直在原地踏步。,如果某几章都在铺垫，那就必须明确人物或信息层面的新增，否则就会被感知成拖沓。,卷章四任务平衡,任务轮换|功能错位补偿|多维推进,连续多章只有铺垫|剧情走了角色不变|只抛压力不做任何兑现
PA-019,plan|write,节奏,知识补充,段落情绪曲线|章内起伏|章内节奏|段落功能,一章内部情绪怎么起伏|段落节奏怎么排|章内怎么不平,全部,一章内部至少安排一次明显上扬和一次回落，再在结尾挂钩，别让整章保持单一声调。,章节内部的情绪曲线决定读者会不会觉得顺，哪怕事件很多，如果声调始终不变也会显得平。,段落级别的开头引入、中段抬升、转折变调、结尾卡点，比宏观的大纲更直接影响阅读体感。,段落级情绪起伏,引入|抬升|转折|短回落|章末再钩,整章都在同一情绪档位|高潮太早后面拖平|结尾没有新问题
PA-020,plan|write,节奏,知识补充,前五章|前5章|卖点直出|开局展示,前五章怎么排|卖点什么时候出|开局几章怎么抓人,全部,前五章必须让题材、主角处境和至少一个核心卖点落地，禁止长期背景热身。,很多长篇不是死在后期，而是前五章还没让读者知道这书到底好看在哪。,即使要铺世界观，也该让金手指、主冲突或角色欲望尽快上桌，让读者先尝到味。,前五章卖点直出期,题材亮相|主冲突入场|差异卖点尽快兑现,前五章还在纯讲背景|卖点全靠简介承担|主角长时间被动漂着
PA-021,plan|write,节奏,知识补充,爽压钩平衡|章章三联|章节追读|连载节奏,追读节奏怎么稳|章节怎么又爽又紧|连载每章怎么排,全部,连续章节里保持爽点、压力和钩子的基础配比，别让连载忽冷忽热完全失衡。,追读感稳定的连载，往往不是章章大高潮，而是章章都有回报、有压力、也有下一步诱饵。,小爽点能续命，小压力能蓄势，小钩子能续读，三者比单靠大高潮更适合日更。,章章爽压钩均衡期,小兑现保甜度|压力续火|结尾卡问题,连续几章全是铺垫|连续几章只剩无脑爽|钩子全挤在卷尾才出现
PA-022,plan|write,节奏,知识补充,高潮分布|大小高潮|节奏疏密|高潮校准,高潮怎么分布|大纲高潮太密怎么办|高潮太少怎么救,全部,卷内要有大高潮和小高潮的疏密设计，密了会疲劳，稀了会流失。,高潮不是越多越好，关键是让读者在等待中有小奖励，在爆发时有大满足。,一般可以用数章一个小爆点、数十章一个卷级爆点的方式维持稳定期待。,高潮疏密校准期,小高潮续燃|卷级高潮收束|过渡章留余温,高潮全挤在卷末|铺垫过长中途没奖励|每章都当高潮写导致麻木
PA-023,plan|write,节奏,知识补充,卷终余波|高潮后结算|卷尾善后|状态重排,高潮后怎么收|卷尾怎么结算|大战后怎么接下一卷,全部,卷级高潮后必须给人物、关系和势力格局一个结算窗口，再抛下一卷方向。,大高潮后立刻硬切新地图，读者常会失重；适度余波结算能把满足感沉到底。,伤亡、奖惩、名声变化、阵营站队和新危机种子，都适合在卷终余波里完成排列。,卷终余波结算期,高潮后缓落|状态重排|新方向轻钩,刚打完就直接开新副本|重要代价一笔带过|卷尾只有庆功没有新悬念
PA-024,plan|write,节奏,知识补充,分支选择|蝴蝶效应|选择后果|隐藏选项,选择怎么写得有意义|分支怎么影响后文|隐藏选项怎么做,游戏|悬疑,让选择立刻带来一层结果、后续再回收更大代价或收益，别把选项写成换皮对白。,真正有效的分支选择，不是眼前哪个更酷，而是现在的选项会在很后面回来追账。,属性门槛、特殊道具或隐藏线都可以当分支钥匙，但必须让后果实打实改变路线。,选择分支蝴蝶效应期,即时取舍|延迟回收|隐藏路线奖励,选哪个都一样|只在当章有效|隐藏路线没有真正价值差
PA-025,plan|write,节奏,知识补充,规则递进|规则揭示|基础规则|隐藏规则|反转规则,规则类节奏怎么排|规则什么时候揭示|隐藏规则怎么放,悬疑,开局给基础规则，中段给矛盾和例外，后段再揭隐藏真相，让读者一直有新认知。,规则类题材最怕一次把所有规则说完，真正好看的节奏是规则本身也在升级。,先让角色学会活下去，再让他们怀疑规则，最后让他们知道规则背后还有更可怕的秩序。,规则递进揭示期,基础认知建立|矛盾刺破|隐藏真相翻盘,开篇就解释完所有规则|后续只重复执行|隐藏规则靠临时补设定
PA-026,plan|write,节奏,知识补充,证据累积|逼近真相|推理节奏|假设排除,推理节奏怎么排|线索怎么一步步逼近真相|证据怎么累积,悬疑,每轮推理都让证据否掉旧假设、逼近新假设，不要原地空转讨论。,推理节奏的爽点来自认知不断被更新，而不是角色围着同一堆线索打转。,可以按现象、假设、反证、修正、再验证的节拍推进，让真相像被一点点逼出来。,证据累积逼真相期,旧认知崩塌|新假设冒头|证据再补刀,线索堆很多但没有推进|每轮讨论重复旧内容|真相突然从天而降
PA-027,plan|write,节奏,知识补充,倒计时|副本限时|时间限制|闯关压迫,倒计时怎么制造压力|限时副本怎么排节奏|时间限制怎么有用,悬疑,把时间限制挂在任务、规则和奖励上，让每次犹豫都能感到成本流失。,限时机制之所以有效，是因为它让任何探索、争执和试错都带上了真实损耗。,计时器、轮班、天黑、资源腐败等都能成为时间压力，关键是它必须改变人物选择。,副本限时倒计时期,时钟压迫|试错成本增加|临近截止爆发,说是限时却没有实际后果|角色闲聊很多却不紧张|倒计时只在结尾想起来
PA-028,plan|write|init,节奏,知识补充,天赋揭晓|升级反馈|抽取回报|稀有奖励,天赋系统怎么维持期待|升级怎么有反馈|抽卡回报怎么排节奏,悬疑|游戏,把天赋揭晓、升级和共鸣效果当成阶段性奖励节点，既给爽感也给后续想象空间。,成长系统最容易黏住读者的地方，是每次揭晓新能力都像打开一扇更危险也更诱人的门。,稀有度、冷却、升级条件和组合效果都可以成为期待源，但一定要与当前困境形成对应。,天赋揭晓升级期,稀有揭晓|能力解锁|新困局同步抬升,新能力只会堆数值|升级与当前剧情无关|揭晓太频繁导致通胀
PA-029,plan|write,节奏,知识补充,多线汇聚|群像收束|大事件汇流|会师高潮,群像文什么时候该汇线|多线剧情怎么集中爆发|多条支线怎么一起炸,全部,分散多线跑到一定阶段后，必须安排一个足够大的汇聚事件统一结算，不然读者会觉得散。 ,多线汇聚期的作用，是把分散积累的情绪和信息集中引爆，让所有支线第一次互相照亮价值。,都城围困、最终考试、周年庆典爆炸、天灾降临，这类节点最适合让群像命运正式撞车。,多线汇聚大事件期,多线并压|人物会师|单点爆破式收束,支线一直分着跑|汇聚点只是普通碰头|汇线后没有真正改变局势
PA-030,plan|write,节奏,知识补充,人物弧光|催化转折|成长节点|角色变化节拍,角色什么时候该变|人物成长转折怎么排|弧光节奏怎么做,全部,把人物弧光的关键变化压在催化事件之后，让情节和性格转折同拍，而不是各写各的。 ,人物变化有节奏，读者才会觉得成长扎实，而不是作者想改就改。,通常应先积压旧问题，再给催化剂，再让人物做出一次和过去不同的决定，成长才会被感知。,弧光催化转折期,旧伤累积|事件刺破|新选择落地,没有催化事件直接变人|转了但没反映到行为|转变刚发生就被下一情节盖掉
PA-031,plan|write,节奏,知识补充,倒叙开篇|追因结构|先给结果|非线性节奏,倒叙开头节奏怎么排|先放结局后面怎么追|非线性开篇怎么不乱,悬疑|现言|奇幻,倒叙开篇之后，后文必须持续提供‘为什么会走到这里’的增量，而不是普通线性重播。 ,倒叙开篇追因期的快感，来自读者一路重新理解开头那一幕，而不是单纯等故事追上它。,开场结果越强，后续追因线就越要层层改写读者理解，否则会很快失去驱动力。,倒叙开篇追因期,强结果先钩|逐层释因|临近追平时再翻新认知,开篇炸完后面平铺|追因线没有新信息|最终解释撑不起开头的冲击力
PA-032,plan|write,节奏,知识补充,留存止血|卡文急救|掉读修复|节奏抢救,最近很拖怎么救|留存掉了先改什么|卡文时期怎么快速止血,全部,当连载进入低压期，优先用1到3章止血：补爽点、回主线、强钩子，不要继续慢热自救。 ,留存止血期的核心不是完美调整，而是先把读者拉回主线上，重新建立追更理由。,最快的止血手段通常是删掉冗余铺垫、补一个阶段兑现、加一条高价值新问题。,留存止血急救期,快速回主线|短章强钩|小爽点止血,掉读时继续慢铺|想一次大改反而更拖|只补设定不补情绪回报
PA-033,plan|write,节奏,知识补充,战力受限|主角太强怎么办|战力膨胀修复|限制发挥,主角太强怎么继续写|战力崩了怎么救|不能再一招秒怎么办,玄幻|都市|奇幻,不要直接削主角数值，先改胜利条件和战场规则，让强者也必须重新思考。 ,战力受限期真正有效的修复手段，是换维度，不是单纯把角色写笨或写弱。,护送任务、反制敌人、禁魔区、保护NPC、对手克制属性，这些都能让一拳超人重新变得有戏。,战力受限再造张力期,规则换维|新限制压强|爆发窗口变珍贵,强行削弱主角|所有敌人无脑更强|限制只出现一章就消失
PA-034,plan|write,节奏,知识补充,时间跳跃|时间跳过|修炼期略写|三年后,什么时候该时间跳跃|枯燥阶段怎么跳过|时间线怎么提速,全部,当成长过程已无新冲突时，果断时间跳跃，把篇幅留给节点，而不是把每天都写满。 ,时间跳跃不是偷懒，而是把冗长过程压缩成结果前的悬念和结果后的兑现。,闭关、修炼、打基础、搬迁重建等过程，只要变化逻辑已明，就可以通过‘三年后’直接提速。,时间跳跃提速期,略过程保节点|压抑后直接兑现|时间差制造期待,该跳不跳写成流水账|跳太猛导致人物关系断层|跳完后没有补足变化结果
PA-035,plan|write,节奏,知识补充,伦理困境|道德后遗症|选择余震|两难震荡,无解选择后面怎么写|两难之后怎么留伤口|道德困境后遗症怎么排,悬疑|科幻,做出选择不是结束，后面必须安排心理余震、外界评判和关系裂口，让代价继续追人。 ,无解抉择真正能拉高层次的地方，不在当场选，而在选择之后的人生开始变形。,自责、舆论、同伴离心、反派利用选择造势，这些余震越持续，抉择越显得有分量。,道德抉择震荡期,决策冲顶|事后余震|关系和舆论持续追债,选完就翻篇|后遗症只写一章|两难被后续轻易洗白
PA-036,plan|write,节奏,知识补充,主神任务|文字陷阱|任务歧义|轮回者被坑,主神任务怎么坑人|任务文字游戏怎么排|无限流规则陷阱怎么写,悬疑|游戏,把任务写得表面清楚、实际有歧义，让主角靠读字、试错和信息差活下来，而不是靠主神放水。 ,主神任务歧义期的爽点，在于别人把任务当通知，主角却把它当机关。,生存七天和保护所有人、带回恐龙蛋和确保恐龙蛋完整，这种微小字差最适合成为陷阱和翻盘口。,主神任务歧义陷阱期,任务发布稳压|误解引坑|读字破局反杀,歧义太牵强像抬杠|任务根本无法理解|陷阱全靠作者事后解释
PA-037,plan|write,节奏,知识补充,假结束|还有一手|微反转补刀|二次翻面,爽点后怎么再补一刀|以为结束后再翻面怎么排|微反转怎么更狠,全部,先给一个足够像结局的落点，再在半拍停顿后翻第二次；补刀信息必须前面埋过。,假结束再翻面期最有效的地方，在于读者刚松一口气，新的更高情绪就又压下来。,主角刚赢、误会刚解、任务刚完成、反派刚认输，都是假结束的好节点；但第二翻面必须建立在前文已有信息上。,假结束再翻面期,先兑现主爽|短暂停顿放松|补刀二次拔高,假结束太假|第二翻面凭空掉落|连续翻太多次把读者翻麻
PA-038,plan|write,节奏,知识补充,情感账户|情绪回报|关系回血|低谷回暖,长篇压太久怎么补情绪|关系戏什么时候该回报|一直虐什么时候该给糖,全部,持续施压后必须安排情感回补节点，让角色和读者都得到呼吸，不要把连载写成永恒低压仓。,情感账户回补期的作用，是在持续冲突中给角色关系和读者情绪一次真实回血。,并肩吃饭、短暂和解、旧伤被看见、承诺兑现、有人站到主角这边，这些都能作为高价值情感回报。,情感账户回补期,压后给糖|关系回暖|温情中埋下一轮动力,只压不补|回补全靠口头安慰|温情戏与主线完全割裂
PA-039,plan|write,节奏,知识补充,伏笔清债|回收库存|遗忘伏笔|伏笔盘点,伏笔埋太多怎么收|遗忘伏笔怎么处理|中后期该回收哪些线,全部,定期盘点伏笔库存，优先回收影响主线理解和读者记忆的那批线，不要无限透支后期解释成本。,伏笔库存清债期的重点，不是一次讲完所有答案，而是把该兑现的关键线按优先级稳稳结清。,身份线、旧物线、承诺线、隐藏规则线都要分轻重；最好让一个回收同时带出下一阶段的新问题。,伏笔库存清债期,旧线回亮|兑现补偿|回收顺带开新问,一直只埋不收|一次回收太多像说明会|早期关键线被作者自己忘掉
PA-040,plan|write,节奏,知识补充,对手阶梯|小boss中boss|压力接力|敌人升级,反派怎么一层层抬高|打完一个boss后怎么接更大压力|对手体系怎么排节奏,全部,让每层对手都代表新的压力维度，别只做数值加大版；对手更替应像接力，不像随机刷怪。,对手阶梯接力期能把阶段胜利转成更大压强，让读者知道局不是打完一个人就清零。,小BOSS试锋，中层敌人扩资源和范围，大BOSS改规则或改地图，上升应体现在维度而非单纯血条。,对手阶梯接力期,局部胜利|更高压入场|压力维度升级,每层敌人只是更强|前后对手彼此无关系|打完一层世界又像重新开始
PA-041,plan|write,节奏,知识补充,小高潮续航|短周期兑现|三五章一爽|连载续命,中长篇怎么持续给回报|小高潮怎么排得不断|不能老等卷末爆发怎么办,全部,用三到五章一个小兑现的节拍续航，把读者持续送到下一次满足点，而不是只等卷末总爆发。,小高潮接力续航期的本质，是用密度稳定的局部回报维持长篇追读，而非章章放烟花。,小胜利、关系推进、线索突破、能力小升、局部打脸都可以当小高潮，只要类型轮换就不容易疲劳。,小高潮接力续航期,短周期回报|类型轮换|小奖后接新问题,所有回报都拖到卷末|小高潮类型重复|兑现后完全不接下一步动力
PA-042,plan|write,节奏,知识补充,结构纠偏|中段失速|进度偏离|删并支线,写到中段歪了怎么救|大纲和实际进度不一致怎么办|结构跑偏如何纠正,全部,先确认必须保留的骨干节点，再剪并支线和挪顺序，不要只靠提升字速假装节奏变快。,中段结构纠偏期的关键不是慌着全盘重写，而是保住主骨架、砍掉拖行李的部分。,对照原计划看哪些节点晚了、哪些支线占比超标、哪些信息应前置，调整要围绕主线推进效率展开。,中段结构纠偏期,对照原纲|保骨干删支线|快刀调整恢复前进感,一发现偏离就全盘推翻|只改字速不改结构|纠偏时又额外开新支线
PA-043,plan|write,节奏,知识补充,大战前静压|临战夜|高潮前蓄势|爆发前安静,大战前夜怎么排节奏|高潮前要不要安静一下|爆发前怎么蓄压,全部,大高潮前留一段静压期，让角色确认代价、准备装备、说完该说和没说的话，再去爆。,大战前静压聚能期能让高潮更重，因为它先让读者意识到这场战斗究竟要付出什么。,临战沉默、最后检查、交代后事、未尽之言、队伍再站位，这些看似慢的桥段正是把爆发抬高的弹簧。,大战前静压聚能期,临战沉默|代价确认|未尽之言积压爆点,大战前还在水无关日常|静压拖太久耗光火气|只摆氛围不交代 stakes
PA-044,plan|write,节奏,知识补充,爽点换挡|防疲劳|爽法轮换|中后期保鲜,一种爽点写多了怎么办|长篇怎么防打脸疲劳|中后期爽点怎么换口味,全部,主卖点可以稳定，但兑现方式必须轮换，把打脸、智斗、情感、真相和关系回报交替投放。,爽点换挡防疲劳期的目的，不是换掉卖点，而是让同一卖点从不同维度持续新鲜。,如果前期主打力量打脸，中后期就该插入规则破局、真相翻面、关系兑现或代价回收，避免单一爽法刷麻木。,爽点换挡防疲劳期,打脸换智斗|力量换情感|真相与关系交替释放,全书只有一种爽法|换挡过猛丢掉主卖点|为了换而换却不服务主线
PA-045,plan|write,节奏,知识补充,新地图导入|新副本开局|新环境适应|换地图节奏,换地图后前几章怎么写|新副本开局节奏怎么排|进入新环境怎么不拖,全部,新地图前几章必须同时给新规则、新诱饵和新危险，别只让角色到处逛着认识环境。,新地图适应导入期的目标，不是完整旅游说明，而是迅速让读者知道这里和旧地图最不同、最危险、最值得看的是什么。,开局一两章内最好完成新场景气味、新势力位置、新规则门槛和一个直观冲突的建立，避免导入期空转。,新地图适应导入期,新鲜感先抬起|规则差异立住|用小冲突快速着陆,导入期像旅游手册|只介绍设定不制造碰撞|新地图和旧地图体验无差别
PA-046,plan|write,节奏,知识补充,支线并线|回主轴|多线收束|支线归主线,支线太散怎么收回来|多条线怎么并回主线|写着写着跑偏怎么回主轴,全部,不要分别一条条收支线，优先设计一个汇点，让多条支线在同一事件上同时兑现并回主轴。,支线并线回主轴期最有效的写法，是让多条线在同一汇聚事件上互相证明自己不是白写的。,旧仇、旧案、旧物、角色关系和地图变化都可以在同一场大会战、同一案发夜或同一卷终点一起并线。,支线并线回主轴期,散线回拢|多线同时亮灯|主线再度清晰发光,支线一个个机械交差|回收完仍然和主线无关|并线节点没有足够戏剧压力
PA-047,plan|write,节奏,知识补充,连败压强|连续受挫|低谷蓄爆|翻盘前夜,主角连续吃瘪怎么写才有用|低谷期怎么蓄爆|翻盘前怎么压强,全部,连败不能只是反复输，要每输一次都换掉一层幻想，直到角色和读者都知道旧路真的走不通了。,连败压强蓄爆期的价值，在于把翻盘从想赢变成必须换一种活法，否则就会一直输下去。,资源断、信任裂、旧底牌失效、错误策略被证伪，这些连败内容比单纯数值打不过更能抬高后续爆发。,连败压强蓄爆期,希望被逐层剥掉|旧打法失效|新解法在绝境前成形,只是重复吃瘪没有新信息|低谷太长不给转机信号|输得像拖剧情而不是蓄爆
PA-048,plan|write,节奏,知识补充,线索递亮|剥洋葱真相|一层层揭露|真相推进,真相怎么一层层亮出来|线索推进节奏怎么排|悬疑不要一次讲完怎么办,悬疑|都市|奇幻,每次揭示只改写一层认知，但必须让读者明确感到自己比上一章更接近真相。,线索剥洋葱递亮期的重点，是让真相像一层层转向，而不是同一层信息换着说法重复讲。,先改写现象，再改写身份，再改写动机，最后改写根本规则，这种层级揭露会比一次性全抖出来更耐追。,线索剥洋葱递亮期,局部真相先亮|旧理解被推翻|越接近核心越不安,每次揭示都只是补旁枝|连续几章原地分析|真相最后仍靠天降说明
