编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,场景类型,模式名称,说明,示例片段,毒点
SP-011,write|plan,竞技,知识补充,绝杀瞬间|体育比赛|最后一攻|比赛高潮,绝杀怎么写|比赛最后一球怎么写|体育高潮怎么排,游戏|都市|衍生,关键一击前放慢体感时间，用呼吸、观众声浪和肌肉反馈压紧瞬间，不要把绝杀写成一句结果通报。,体育绝杀场景要用慢镜头体感和环境噪音反差，把一秒钟写出整场比赛的重量。,鞋底摩擦、计时器滴答、观众屏息都能抬高最后一击的密度，让出手瞬间像整部比赛浓缩到一点。,竞技场景,慢镜头绝杀兑现,适合篮球绝杀、冲线反超、点球决胜等最后一击类高潮。,全场喧嚣在他起跳那一刻忽然远了，只剩掌心摩擦球皮的涩响和计时器最后半秒的跳动。,比赛写了很久，最后关键球却直接一句“他投进了，全场沸腾”带过。
SP-012,write|plan,军事,知识补充,战术手势|静默突入|小队协同|特战行动,特战行动怎么写|静默突入怎么排|战术手势怎么用,历史|都市|科幻|悬疑,手势、短促电台词和位置变化必须同步，让专业度来自行动默契而不是术语堆砌。,小队战术场面的专业感来自极简沟通和默契协同，越安静越能把压迫感拉满。,冻结、观察、包抄、击杀等常用手势要与地形和节拍结合，才能让突入过程既清楚又紧绷。,军事场景,静默协同式突入,适合破门、巷战、埋伏和救援等强调训练有素的小队行动。,领队抬拳，整条走廊瞬间静住；两指点向自己眼睛再划向拐角，最后一人已经贴墙滑了出去。,队员在高危行动里不停大段交流战术，像开会复盘。
SP-013,write|plan,战争,知识补充,战前动员|史诗演说|鼓舞士气|万人齐呼,战前演讲怎么写|鼓舞士气怎么排|史诗感台词怎么做,历史|奇幻|玄幻,先承认恐惧，再指出为何而战，最后用短促口号收束，别整段都喊空洞大词。,战前动员最有力的结构是共情恐惧、升华目标、口号收束，让士气从压抑中抬起来。,真正有感染力的演说不会回避死亡，而是先让士兵觉得自己被理解，再被推向共同信念。,战争场景,共情升燃式动员,适合大战前夜、绝境反扑、义军起兵等需要群体情绪爆开的场面。,“我知道你们怕。”他没有提高声音，风却忽然像也停了一拍，“但你们身后，就是家。”,演说只会空喊荣耀与胜利，没有具体对象也没有情感过渡。
SP-014,write|plan,开篇,知识补充,系统公告|全球进化|天音降临|末世开篇,系统降临怎么写|全球公告开篇怎么做|末世开头怎么起,科幻|衍生|悬疑,宣告必须冷酷简短且不可抗拒，用集体异变和规则落地立刻改写世界，不要边公告边长篇解释背景。,系统天音降临式开篇要靠绝对权威感和全世界同步异常，在数句内完成旧世界终结。,声音直接出现在脑海、天空变屏幕、规则即时生效，这些都能迅速建立不可抗力和开篇压强。,开篇场景,天音降临式系统宣告,用一次全球同步异象把旧秩序推翻，适合末世游戏化、全球进化和无限流起手。,欢迎来到地球2.0。那道声音不在天上，也不在耳边，而是像冰冷铁片一样直接压进每个人的视网膜。,系统公告说了半天设定说明书，危机却迟迟不真正发生。
SP-015,write|plan,黑市,知识补充,黑市场景|地下交易|违禁品买卖|禁忌氛围,黑市场景怎么写|地下交易怎么有味道|违禁品交易怎么排场面,都市|玄幻|科幻|悬疑,用低声报价、遮脸规矩和风险标签制造禁忌感，让交易现场像随时会出事的雷区。,黑市场景的核心不是东西多，而是每个摊位和每次交易都带着见不得光的危险味道。,面具、暗号、诅咒物、赃物来源和执法追踪都能把黑市从普通集市区分出来。,交易场景,禁忌感黑市交易,用规则、风险和低声交流把地下世界和正规世界切出明显差异。,摊主没有抬头，只把那枚发黑的戒指推过来，旁边压着一张写着“佩戴者自负后果”的纸条。,黑市和正常商场没有区别，只是把摊主名字改得更黑一点。
SP-016,write|plan,梦境,知识补充,梦境迷宫|空间错乱|潜意识场景|创伤空间,梦境场景怎么写|空间错乱怎么做|潜意识迷宫怎么排,奇幻|悬疑|衍生|都市,把梦境的错乱建立在角色创伤上，让门通错房、海水能呼吸这类异常都对应内心问题。,梦境迷宫场景要同时让空间失真和情绪失真成立，读者既能感到怪异也能看见创伤投影。,越往深层，规则越该偏离现实，而象征物和影子自我则负责把角色真正不敢看的东西推到台前。,梦境场景,创伤映射式梦境迷宫,通过空间异常与象征物，把内心创伤转成可走、可闯、可对抗的场景。,他推开卧室门，门后却是那片永远淹不到底的海，而床头柜还悬在海面上慢慢摇晃。,梦境只是堆砌奇怪画面，和角色经历毫无关系。
SP-017,write|plan,回顾,知识补充,前情回顾|卷间 recap|上一卷总结|卷终回顾,前情提要怎么写成场面|上一卷怎么自然回顾|卷间回顾怎么不干,全部,回顾场景要抓转折、损失和变化，用人物口吻或旁白情绪带读者回到主线上，不要报流水账。,卷间回顾场景最有效的写法，是把最重要的几次变化浓缩成带情绪的再回望。,可以用主角独白、旁白总结、旧友复盘或庆功后的沉默等方式，把上一卷的代价和成果重新压实。,回顾场景,卷终回顾式开场,在新卷开始前快速帮助读者找回主线和情绪温度，同时确认角色已发生的变化。,直到站在帝都城门下，他才真正意识到，自己已经把那个只会逃命的少年留在了上一卷的火里。,把前几十章事件按时间顺序机械罗列，像工作周报。
SP-018,write|plan,收束,知识补充,下卷预告|卷尾收束|新卷钩子|预告场景,卷尾怎么预告下一卷|下卷钩子怎么写|收束场景怎么吊人,全部,卷尾收束只点风暴方向和关键诱饵，别把下一卷剧情简介直接塞进正文。,好的下卷预告场景会让读者知道更大的事要来了，却还看不清它真正的面目。,远处异象、密令抵达、旧敌露面、地图开启，都适合在收束场景里做轻量吊钩。,收束场景,下卷预告式收束,在本卷情绪完成落地后，轻轻撬开下一卷的大门，维持连续阅读欲。,庆功宴的鼓声还没停，北境传来的黑羽箭已经钉进了殿柱，箭尾只绑着两个字：归营。,本卷刚结束就开始详细介绍下一卷地图、反派和所有任务。
SP-019,write|plan,规则,知识补充,规则宣读|副本入场|守则广播|怪谈开场,规则怎么首次出场|副本入场场景怎么写|守则广播怎么做,悬疑,先把规则说得像正常通知，再在一两条里埋入异常，恐怖感要从秩序外壳里冒出来。,规则宣读式入场最抓人的点，是看似官方、冷静、正常的文本里混进了绝不正常的要求。,广播、公告牌、入职手册、校规墙都能作为载体，越日常越适合承载第一层怪异。,规则场景,规则宣读式副本入场,用正式文本和现场反应同步建立副本规矩、危险和推理空间。,欢迎各位游客参观海洋馆。若在闭馆后听见海豚叫声，请立刻远离所有水体。,一上来就靠角色解释这里很恐怖，却没有任何可见规则落地。
SP-020,write|plan,仪式,知识补充,封印仪式|倒计时施法|法阵场面|解封危机,封印场景怎么写|仪式场面怎么有压迫感|倒计时施法怎么排,玄幻|奇幻|仙侠,把咒文、动作、材料、反噬和倒计时同时摆上台面，让每一步都像踩在失误边缘。,封印仪式场景的张力来自秩序化步骤和随时可能失控的临界感。,法阵逐格点亮、祭品不足、目标反扑、施术者吐血，这些都是把仪式写活的关键拍点。,仪式场景,倒计时封印仪式,用严格步骤和紧迫时间制造压强，适合大场面收束或灾难爆发前夕。,第七根光链刚从地底拖出，主阵人的腕骨就先一步裂开，离阵心闭合只剩最后三息。,仪式全靠一段漂亮咒语带过，没有过程、代价和失控风险。
SP-021,write|plan,竞技,知识补充,解说席|裁判点评|学院决斗|第三方拆招,有解说的对决怎么写|裁判点评怎么服务战斗|学院比赛怎么更清楚,游戏|玄幻|衍生,让解说只解释关键招法和失误根源，别把每一步都讲成教学视频。,第三方解说能把复杂战斗说清楚，也能通过预判被打脸制造额外戏剧性。,最适合在学院赛、公开擂台、电视转播这类场景里使用，用来解释为什么这招强、为什么那步错。,竞技场景,解说席拆招式对决,通过裁判、导师或解说员的视角，放大战术价值和观众反应。,“冰镜不是为了反弹，是为了吃掉火球的热量差！”导师话音没落，场上的火法就已经踩空了第二步。,解说把所有动作都复述一遍，读者比场上观众还先看累。
SP-022,write|plan,群像,知识补充,多人会议|群像对话|会议暗流|谁在说话,多人对话场面怎么写|会议戏怎么不乱|群像商议怎么有暗流,全部,说话必须绑定动作和位置变化，尤其盯住不说话的人，让沉默本身也携带信息。,多人会议场景的好看，不在于每个人都说话，而在于每个人都在用不同方式参与博弈。,领导者下命令、插科打诨者缓冲气氛、心虚者抢答、沉默者观察，这种功能错位最容易把场面写活。,群像场景,多人会议暗流调度,适合谋划、战前会议、家族争执、队伍分工等多人同场戏。,众人还在吵路线，角落里那个始终没开口的人却悄悄把桌上的地图转了个方向，像是在确认逃生口。,所有人轮流输出台词，没有动作、观察和隐性态度差。
SP-023,write|plan,叙事,知识补充,倒叙开篇|葬礼开头|非线性开场|先给结局,倒叙开篇怎么写|葬礼开头怎么抓人|开头先放高潮怎么排,悬疑|现言|奇幻,开头先扔最具冲击力的结果，再在后文逐步解释它是怎么发生的，别只靠猎奇硬冲。,倒叙开篇最有效的地方，是先让读者看见结果，再追着原因一路往回挖。,葬礼、废墟、审判、最终战残局都适合做开头，但必须确保后文能持续改写读者对开场那一幕的理解。,开篇场景,倒叙开篇追因,用结果先行的强钩子建立悬念，适合真相导向强的故事。,他站在自己的墓碑前，听所有人谈论他的死亡，却没有一个人知道棺材里根本没有尸体。,为了耍花样先放一个大场面，后文却解释不了，最终只剩噱头。
SP-024,write|plan,悬疑,知识补充,心理侧写|案情分析|画像推理|证物侧写,侧写场景怎么写|案情分析怎么不空|通过证物推犯人怎么做,悬疑|都市,每一条侧写结论都要对应现场证据，别让分析像神棍开天眼。,心理侧写场景的张力，来自少量证据一步步逼出一个可怕而具体的人。,组织度、过度杀戮、带走纪念物、现场清理程度，都能成为年龄、职业、关系和再犯地点的推导抓手。,分析场景,证物侧写式推演,适合案情会、审讯前预判、主角单人复盘等高智商推理场面。,她没有先问凶器，只把那只被擦得过分干净的门把手推到桌前，说这不是谨慎，这是熟练。,角色盯着现场看两眼就宣布凶手年龄职业性格全对，没有证据链支撑。
SP-025,write|plan,探险,知识补充,遗迹日志|考古记录|壁画拼图|古文明线索,遗迹探索怎么写出历史感|考古日志怎么做|通过壁画揭真相怎么排,奇幻|科幻|悬疑,把古文明真相拆成壁画、残页、器物和误译，让主角像拼图一样一点点接近历史。 ,遗迹类场景最迷人的地方，是当前探索和古老真相在同一空间里叠出两层叙事。,不要一次讲完过去发生了什么，而是让碎裂壁画、失灵核心和残缺笔记互相补位，制造逐步颠覆认知的快感。,探索场景,遗迹日志拼图揭史,适合大型遗迹、古文明遗址、废弃基地等世界观揭示型场面。,第七幅壁画上，本该跪拜神明的人类却戴着项圈，像是在给谁递交贡品。,主角一进遗迹就被旁白全讲明历史，探索过程形同虚设。
SP-026,write|plan,抉择,知识补充,伦理困境|十秒倒计时|两难抉择|救谁,无解选择场景怎么写|十秒钟做决定怎么排|救一人还是救多数怎么写,悬疑|科幻,把时间压到来不及求完美解，再把后果写得足够具体，让主角的选择像在割自己。 ,伦理困境场景的力量，不在于问题多哲学，而在于谁都知道没有完美答案。,倒计时、旁观者目光、世界舆论和选择后的自责都要写，让两难不是题目，而是会留下伤口的事件。,抉择场景,十秒倒计时伦理抉择,适合无限流关卡、灾难救援、政治决策等必须立即选择的高压节点。,数字跳到三的时候，他终于明白自己不是在选谁该活，而是在选往后哪种恨会跟自己一辈子。,口头说两难，实际暗中藏着完美选项，读者根本感受不到压力。
SP-027,write|plan,赛博,知识补充,VR登录|虚拟现实切换|感官重置|登入登出,VR登入怎么写|现实进虚拟怎么有感觉|网游开场怎么切世界,游戏|科幻|都市,先写现实感官断开，再按听觉、视觉、触觉逐步重建虚拟世界，用反差撑起切换感。,VR切换场景最有冲击力的，不是说进游戏了，而是让读者跟着主角一起重新长出新世界的感官。,黑暗、神经刺痛、白色加载界面、远处第一声风，再到视野完全铺开，这个顺序最容易做出强代入。,转场场景,VR登入感官重置,适合虚拟现实题材的开篇、切图、下线回现实等场面。,先回来的是风声，其次是脚下草叶摩擦的细响，最后才是天幕像被人猛地扯开一样扑进他的眼里。,一句他进入了游戏世界带过，现实和虚拟毫无区别感。
SP-028,write|plan,校园,知识补充,直播取证|校园反击|诱导自爆|公开清算,直播取证场景怎么写|校园反击怎么公开翻盘|让霸凌者自爆怎么排,现言|都市,关键不是直播本身，而是诱导对方在证据完整、观众足够多的情况下亲手坐实自己。 ,公开取证式反击场景的爽点，在于主角几乎不动手，却让对方在全场注视下自己把自己送走。,提前布机位、控制节奏、让对方以为还在掌控局面，直到一句话或一个动作彻底引爆舆论，是这种戏最稳的写法。,反击场景,直播取证式公开反击,适合校园霸凌、职场陷害、公众人物翻案等依赖规则与舆论的场面。,镜头红点亮起那一秒，他只是把手机往桌上一放，笑着问了句：你刚才说，再打我一次会怎样来着？,开直播只是噱头，真正翻盘还是靠作者临时安排路人替主角说话。
SP-029,write|plan,日常,知识补充,任务前聚餐|最后的平静|大战前吃饭|温情埋雷,大战前聚餐怎么写|任务前轻松场怎么埋雷|最后的平静怎么更有味,全部,先把饭桌气氛写松，再用漏口风、少拿的一副碗筷或不自然的沉默埋下后劲，别一上来就端着不祥预告。,任务前聚餐场景最好先让角色像平常一样吃笑聊闹，再让不对劲从角落里慢慢冒出来。,给角色安排夹菜、抢座、喝酒、收拾餐具这些动作，再把伏笔埋在谁突然安静、谁少说了一句平时会说的话里。,日常场景,任务前聚餐温情埋雷,适合大战、副本、远行、潜入行动前的短暂松弛与预警。,大家还在起哄让他别死得太早，她却低头把那只旧护符重新系紧，像是怕再没有机会替他收口。,一边写温情一边不停暗示马上要出事，导致整场戏既不轻松也不真实。
SP-030,write|plan,对话,知识补充,潜台词对话|话里有话|错位对谈|表面聊天暗地交锋,潜台词场面怎么写|话里有话的对话怎么排|表面聊天实则交锋怎么做,全部,表层聊A，实则在谈B，每句都让人物守住不能明说的东西，不要把真实意图提前摊平。,潜台词错位式对谈的好看之处，是双方都在回答表面问题，却都在防另一个真正的问题。,天气、旧事、礼数、关心都可以当壳，真正的试探往往埋在停顿、绕开和故意换词里。,对话场景,潜台词错位式对谈,适合旧情重逢、审讯、谈判、上下级试探等需要压住真意的场面。,他说今天雨大，她嗯了一声，视线却一直停在他袖口那道刚缝好的裂口上，像在问他昨晚到底去了哪。,角色开口三句就把真实想法全说穿，所谓潜台词只剩标签说明。
SP-031,write|plan,战斗,知识补充,战斗开场|多感官压迫|交战前一秒|战前氛围,战斗开头怎么更紧|开战前一秒怎么写|动作戏怎么先压后爆,玄幻|奇幻|都市|科幻,第一击前先把风压、金属声、血味和脚下触感都压上来，让身体先紧，再让动作炸开。,多感官压迫式战斗开场能让读者在第一刀落下前，就先听见、闻见、感到危险逼近。,盔甲摩擦、碎石滚落、喉间铁锈味、手心发麻、呼吸变短，这些细节能把战斗从说明变成临场。,战斗场景,多感官压迫式战斗开场,适合决斗、大战开幕、Boss现身等需要先压强再爆发的动作场面。,刀还没出鞘，风却先贴着皮肤刮了一层冷意，他甚至能听见对面那枚金属戒指轻轻磕在刀柄上的脆响。,一上来只说两人很紧张，然后立刻互砍，缺少身体层面的战前压迫。
SP-032,write|plan,战斗,知识补充,环境战斗|借地形反杀|地形陷阱|环境反作用,地形战怎么写|借环境反杀怎么排|战斗不能只靠招式怎么办,玄幻|奇幻|历史|科幻,把地形当第三个会伤人的对手来写，让落脚点、视野、掩体和环境伤害都改变决策。,地形反噬式环境战斗的关键，是让战场本身参与攻防，而不只是漂亮背景板。,悬崖碎边、雨夜湿地、狭窄楼梯、失重仓库、禁魔区这些环境，一旦会反过来咬人，战斗就立刻多一层智斗味。,战斗场景,地形反噬式环境战斗,适合追击、守点、逃杀和双方能力差距明显时的翻盘场面。,他没有抢快，只一步步把对手逼向那块被雨泡松的檐石，等对方借力起身时，整片屋角先一步塌了。,明明设定了复杂地形，真正开打时却像在平地擂台，环境完全失效。
SP-033,write|plan,反派,知识补充,反派视角|独处决策|反派独白|布置后手,反派视角场怎么写|反派独自布局怎么排|反派独白别太空怎么做,悬疑|古言|奇幻|都市,让反派在处理文件、看监控、擦血、下棋这些动作中展示逻辑和下一手，别对空气长篇解释自己为什么坏。,反派独处式决策场的价值，是让读者看见他如何理解局势、如何误判、又如何迅速补后手。,一个高质量反派视角场，通常既会透露新信息，也会保留偏差，让读者知道他聪明，但不必知道全部真相。,反派场景,反派独处式决策场,适合阶段胜负后、阴谋推进前、视角切换时展示反派脑子与手段。,他把第三份备用计划压到最上面，像是在承认那孩子比预想中更麻烦，却仍旧没打算亲自下场。,反派一人独处时突然开始完整复述自己的阴谋和全部底牌，像在给读者做汇报。
SP-034,write|plan,情感,知识补充,察觉异样|不逼问|默契关心|气氛不对,发现对方不对劲怎么写|关心角色但不逼问怎么排|默契感场景怎么做,全部,真正懂对方的人未必会追问，而是先换话题、挡人、递水、留空间，让关心通过动作落地。,不逼问式默契察觉比直接问你怎么了更耐看，因为它让关系深度体现在理解分寸上。,敏感角色会先感到气氛歪了，再通过收声、清场、挡酒或陪坐表达支持，这种克制比眼泪更有后劲。,情感场景,不逼问式默契察觉,适合队友情绪崩边、恋人冷战、旧伤触发、任务失败后的缓冲场。,她没问发生了什么，只把最吵的那几个人支去拿药，自己安静地在他手边放了一杯温水。,角色刚露出异样就被所有人围着追问，把本该细腻的关心写成审讯现场。
SP-035,write|plan,余波,知识补充,战后撤离|败战余波|伤员撤退|残局收束,打输了之后怎么写|败战撤离怎么更有代价|战后余波场怎么排,玄幻|奇幻|历史|悬疑,撤离场不是清点战损表，而是要把缺员、失误、自责和下一步压力一起写出来。,败战撤离式余波收束最能显出代价，因为角色不是倒下就完，而是得带着裂口继续活下去。,负伤者的走法、谁在沉默、谁还在强撑指挥、谁不敢回头看现场，这些都比一句惨败了更有冲击。,余波场景,败战撤离式余波收束,适合大败、任务失败、失守撤退、误判酿祸后的阶段收束。,没人统计死了几个，抬担架的人却都下意识绕开了那截烧黑的墙，因为谁都知道刚才是谁还站在那里。,战斗一结束就直接跳到下个任务，完全不给角色和读者消化代价的空间。
SP-036,write|plan,重逢,知识补充,假和解|旧友试探|表面叙旧|会面交锋,旧友重逢但不能真和好怎么写|假和解场怎么排|表面叙旧暗地试探怎么做,悬疑|现言|古言|都市,礼貌和旧情都要保留，但任何一句问候都像在试刀，别把和解写成真的翻篇。,旧友假和解式会面的魅力，在于双方都知道回不到从前，却还要借体面把话继续说下去。,这类场景适合用旧称呼、旧习惯、共同回忆做表层糖衣，再让真正试探落在谁先提那件不能提的事上。,重逢场景,旧友假和解式会面,适合旧搭档反目后重逢、前任合作、师兄弟破裂后再碰头等场面。,他还像从前那样给她倒茶，只是把杯口转向她时，指尖故意避开了那道她最熟悉的旧伤。,见面三句话就彻底和好或彻底翻脸，把最有张力的中间地带直接跳过。
SP-037,write|plan,审讯,知识补充,审讯场景|诱供|沉默施压|问讯对抗,审讯戏怎么写|问话怎么有压迫感|诱供场面怎么排,悬疑|都市|历史,别让审讯只靠大吼，真正的压力来自沉默、重复、错位信息和让对方自己补全漏洞。,沉默施压式审讯最抓人的地方，是问话人知道什么时候不问，让嫌疑人自己被空白逼出破绽。,水杯、钟表、灯光、重复确认细节、故意摆错的时间线，这些都比单纯拍桌子更能制造心理崩口。,审讯场景,沉默施压式审讯,适合警方问讯、权谋审人、敌营套话和关系破裂后的对质场。,他没有追问第三次，只把那张前后颠倒的车票推过去，房间里安静得连对方喉结滚动的声音都听得见。,审讯全靠角色互喊互骂，既没有策略也没有心理推进。
SP-038,write|plan,搜证,知识补充,搜证场景|翻房间|现场勘查|房间搜索,搜房间怎么写|现场勘查怎么不无聊|翻找线索场景怎么排,悬疑|都市|奇幻,按区域、层次和优先级推进搜索，让每次发现都推动假设变化，不要把搜证写成物品清单朗读。,分区搜证式房间翻查的重点，是让空间和线索互相咬合，让读者知道为什么先看这里、后翻那里。,门口、桌面、垃圾桶、抽屉夹层、天花板、镜后空间都应有搜索顺序，线索应伴随新的推理方向出现。,搜证场景,分区搜证式房间翻查,适合密室搜证、宿舍调查、卧室翻查、诡异现场勘验等场面。,她先看门后和窗台，因为真正慌的人会先补最显眼的漏洞，直到那只垃圾桶里的半截湿票根才把时间线撕开。,主角一进屋就像开扫描外挂，三秒内自动找到全部关键证据。
SP-039,write|plan,群像,知识补充,榜单公布|排名变化|群像反应|出榜场面,榜单公布怎么写更爽|排名出来时群像怎么反应|成绩发布场景怎么排,玄幻|都市|游戏,榜单场景不要只报名字，真正的爽感来自不同立场的人在同一刻被同一结果击中。,榜单公布式群像反应好看，是因为一个排名结果会同时点燃惊愕、嫉妒、庆幸和翻车四种情绪。,围观者、死对头、老师、盟友、路人都该有不同反应角度，越能形成对照，榜单戏越有层次。,公布场景,榜单公布式群像反应,适合考试放榜、战绩排行、积分榜更新、通缉榜变化等结果公开场面。,第一个失声的不是被挤下去的人，而是刚刚还在教别人别做梦的导师，他盯着榜首那个名字，像突然忘了怎么眨眼。,榜单一出来只剩路人齐刷刷震惊，所有角色反应都长一个样。
