编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,题材/流派,canonical_genre,题材别名,核心调性,节奏策略,毒点,推荐基础检索表,推荐动态检索表,默认查询词
GR-011,story-system,题材路由,知识补充,传统修真|修仙|宗门修炼,修真怎么写|宗门怎么写|天劫怎么写,仙侠,因果和境界约束先行，突破必须有资源、心性或代价。,传统修真要用境界、宗门、因果和资源竞争建立长期秩序。,修真不是堆境界名。每次突破要对应资源消耗、心性变化、师承压力或天劫风险，宗门关系要服务资源分配和立场冲突。禁止闭关流水账，禁止顿悟无铺垫。,传统修真,仙侠,修仙|修真|宗门流,因果约束下的长期升级,修炼段短写斗法段强兑现,境界突破无代价|闭关流水账|因果规则失效,命名规则|金手指与设定|人设与关系,爽点与节奏|场景写法|桥段套路,修真|宗门|天劫
GR-012,story-system,题材路由,知识补充,末世求生|丧尸|废土生存|科幻 末世|末世 基地|基地求生,末世怎么写|丧尸围城怎么写|废土求生|科幻末世基地怎么写,科幻,资源压迫先于英雄表演，生存选择必须留下代价。,末世求生要持续制造资源、信任和安全区的压力。,末世爽点来自在极端资源约束下做出硬选择，而不是主角无条件开挂。水、药、食物、弹药和避难所都要成为剧情变量。禁止末世没有饥饿感，禁止团队关系永远和谐。,末世求生,科幻,丧尸|废土|灾变生存|末世基地,高压生存下的硬选择,危机不断但每轮危机要推进资源格局,资源无限|末世无压迫|危机只靠怪物数量,场景写法|金手指与设定|人设与关系,爽点与节奏|桥段套路|场景写法,末世|生存|资源|科幻末世
GR-013,story-system,题材路由,知识补充,青春甜宠|甜宠|校园恋爱,甜宠怎么写|校园恋爱怎么写|心动怎么写,现言,低冲突高互动，甜点必须来自具体行为而非标签。,甜宠要用日常互动、细节照顾和误会化解制造稳定情绪收益。,甜宠不是一直喊甜。需要用动作、选择、偏袒、吃醋、保护和共同秘密逐步升温，冲突宜小而具体。禁止工业糖精，禁止角色只会脸红心跳。,青春甜宠,现言,甜宠|校园甜文|轻甜,细节互动驱动心动,每章至少一个可感知甜点或关系推进,工业糖精|只写心跳脸红|误会拖太久,人设与关系|写作技法|场景写法,桥段套路|爽点与节奏|写作技法,甜宠|心动|校园
GR-014,story-system,题材路由,知识补充,悬疑推理|刑侦|本格推理,推理怎么写|刑侦案件怎么写|线索怎么埋,悬疑,线索公平但解释延迟，真相必须能回扣前文证据。,悬疑推理要把线索、误导、嫌疑人动机和揭示顺序做成闭环。,推理类章节必须区分事实线索、角色推断和作者误导。读者回看时应能找到证据，反转必须来自已出现信息的重新解释。禁止凭空新证据，禁止侦探神启式破案。,悬疑推理,悬疑,刑侦|本格|探案,公平线索下的延迟解释,每轮调查给一真一伪两个推进点,凭空新证据|侦探神启|嫌疑人动机空心,场景写法|写作技法|人设与关系,桥段套路|爽点与节奏|写作技法,推理|线索|真相
GR-015,story-system,题材路由,知识补充,种田经营|基建|慢生活经营,种田怎么写|经营怎么写|基建怎么写,种田,低爆点高积累，阶段性成果必须可见可用。,种田经营要用资源循环、生产效率和人际共同体制造持续满足感。,种田文不能只写流水日常。每个阶段要有明确生产目标、资源瓶颈、解决方案和成果展示，关系线服务共同体扩张。禁止账本式堆数字，禁止没有阻力的发财。,种田经营,种田,基建|经营|慢生活,积累兑现与共同体扩张,小目标密集兑现大目标卷尾收束,流水账经营|成果不可见|没有资源瓶颈,场景写法|金手指与设定|人设与关系,爽点与节奏|桥段套路|写作技法,种田|经营|基建
GR-016,story-system,题材路由,知识补充,娱乐圈|明星文|星光璀璨,娱乐圈怎么写|明星事业线怎么写|综艺怎么写,现言,事业线和情感线互相制造选择压力。,娱乐圈文要用资源竞争、舆论反转和作品成绩承载爽点。,娱乐圈不能只写恋爱和热搜。角色要有作品、舞台、试镜、商务或奖项目标，舆论反转必须有证据和传播路径。禁止热搜万能，禁止事业线空转。,娱乐圈,现言,明星文|星光璀璨|综艺文,事业竞争中的情感张力,每个小单元要有作品或舆论结果,热搜万能|作品成绩空心|粉圈逻辑失真,人设与关系|场景写法|写作技法,爽点与节奏|桥段套路|场景写法,娱乐圈|明星|热搜
GR-017,story-system,题材路由,知识补充,游戏电竞|电竞|网游竞技,电竞怎么写|比赛怎么写|团队配合怎么写,游戏,赛事目标清晰，胜负来自策略、操作和团队配合。,游戏电竞要把规则、版本、阵容、操作和心理博弈写成可理解的胜负链。,电竞爽点不是喊燃。需要让读者看懂局势劣势、战术选择、关键操作和团队协同，胜负要有铺垫。禁止比赛结果靠口号，禁止技能机制含糊。,游戏电竞,游戏,网游|电竞文|体育竞技,规则清晰的竞技反转,比赛段强节奏训练段短兑现,技能机制不清|胜负靠口号|团队配合缺因果,场景写法|人设与关系|写作技法,爽点与节奏|桥段套路|场景写法,电竞|比赛|团队
GR-018,story-system,题材路由,知识补充,克苏鲁诡秘|克系|不可名状,克苏鲁怎么写|诡秘感怎么写|理智值怎么写,悬疑,未知必须保留边界，恐惧来自信息不足和代价递增。,克苏鲁诡秘要用认知限制、异常细节和不可逆代价制造压迫。,克系不是堆触手。要让角色每次接近真相都损失安全感、关系、理智或身份，解释越多恐惧越弱。禁止怪物图鉴式说明，禁止主角轻松理解高位存在。,克苏鲁诡秘,悬疑,克苏鲁|诡秘|不可名状,未知压迫与认知代价,先异常后证据再局部解释,怪物说明书|高位存在廉价化|理智代价缺失,场景写法|写作技法|金手指与设定,桥段套路|爽点与节奏|写作技法,克苏鲁|诡秘|理智
GR-019,story-system,题材路由,知识补充,学院流|入学考核|校园成长,学院流怎么写|入学考核怎么写|同届竞争,玄幻|都市|现言,规则明确的同辈竞争，成长必须通过考核和排名兑现。,学院流要用制度、同届关系、导师资源和阶段考核建立成长阶梯。,学院不是背景板。课程、社团、考核、排名和导师选择都要影响资源分配，主角成长要在同辈压力下可见。禁止学院无制度，禁止所有同学只负责围观。,学院流,玄幻,入学考核|同届竞争|校园成长,制度化竞争下的成长兑现,每个阶段用考核或排名证明变化,学院制度空心|同辈全降智|导师只当外挂,人设与关系|场景写法|命名规则,爽点与节奏|桥段套路|写作技法,学院|考核|排名
GR-020,story-system,题材路由,知识补充,副本流|关卡挑战|多世界副本,副本怎么写|关卡怎么设计|副本奖励怎么写,悬疑,规则、目标、代价、奖励四件事必须同时成立。,副本流要让每个副本有独立规则和通关目标，同时服务主线成长。,副本不是随机地图。入场条件、失败代价、隐藏规则、奖励机制和主线关联要清楚，副本结尾必须带回外部世界的变化。禁止副本无主线影响，禁止奖励随便发。,副本流,悬疑,无限副本|关卡挑战|多世界任务,规则挑战与主线成长并行,每个副本至少一个规则反用点,副本和主线脱节|通关目标模糊|奖励无代价,场景写法|金手指与设定|写作技法,桥段套路|爽点与节奏|场景写法,副本|关卡|奖励
GR-021,story-system,题材路由,知识补充,西幻冒险|魔法骑士|异世界冒险,西幻怎么写|魔法体系怎么写|骑士冒险怎么写,奇幻,世界规则先于奇观展示，冒险要推动阵营和代价变化。,西幻冒险要用魔法规则、种族立场、旅途目标和阵营冲突支撑史诗感。,西幻不能只堆名词。魔法、神明、种族、王权和冒险目标要互相制约，队伍每次胜利都应改变地图、阵营或信仰关系。禁止换皮玄幻，禁止魔法万能。,西幻冒险,奇幻,西方奇幻|魔法|骑士,规则奇观与阵营推进,冒险段给奇观但必须带代价,魔法万能|种族设定装饰化|冒险无世界变化,命名规则|金手指与设定|场景写法,桥段套路|爽点与节奏|人设与关系,西幻|魔法|骑士
GR-022,story-system,题材路由,知识补充,古言权谋|宫斗宅斗|嫡庶争斗,古言怎么写|宫斗怎么写|宅斗怎么写,古言,礼法身份压住冲突，胜负来自规则内的谋划和反制。,古言权谋要把身份、礼法、家族资源和名声后果写成约束。,古言不是现代人换古装。角色言行要受礼法、家族、阶层和名声制约，反击要通过证据、人情和规则完成。禁止现代口语，禁止女主无成本硬刚所有制度。,古言权谋,古言,宫斗|宅斗|嫡庶,礼法约束下的谋略反制,压抑期重证据反击期重名分,现代口语|权谋无证据|礼法约束消失,人设与关系|写作技法|场景写法,桥段套路|爽点与节奏|写作技法,古言|宫斗|宅斗
GR-023,story-system,题材路由,知识补充,玄幻言情|仙侠恋爱|幻言,玄幻言情怎么写|仙侠恋爱怎么写|宿命感怎么写,幻言,情感线和力量线必须互相施压，宿命不能替代选择。,幻言要让感情选择、修炼代价和世界规则形成同一组冲突。,玄幻言情不能一边升级一边恋爱各写各的。感情推进要影响修炼、阵营、身份或世界规则，虐点要有选择代价。禁止宿命万能，禁止男主代打女主成长。,玄幻言情,幻言,仙侠言情|幻言|宿命恋,情感选择绑定力量代价,每个情感转折都要改变立场或能力,恋爱与主线脱节|宿命替代行动|女主成长被代打,人设与关系|金手指与设定|写作技法,桥段套路|爽点与节奏|场景写法,幻言|宿命|修炼恋爱
GR-024,story-system,题材路由,知识补充,年代民国|年代文|民国言情|年代 四合院|四合院 工厂|工厂 票证,年代文怎么写|民国爱情怎么写|时代感怎么写|年代四合院工厂怎么写,年代,时代物质条件和社会关系是第一约束。,年代民国要用物价、职业、家庭结构和时代风险承载真实感。,年代文不能只贴年份标签。衣食住行、单位制度、家族关系、战争或政策压力都要影响选择，感情和事业必须落在时代条件里。禁止现代消费观直接套入。,年代民国,年代,年代文|民国言情|近现代|四合院|工厂,时代约束下的情感和生存,日常细节稳住真实感关键节点给时代冲击,时代背景装饰化|现代价值观硬套|物质条件失真,命名规则|场景写法|人设与关系,写作技法|桥段套路|爽点与节奏,年代|民国|时代感|四合院|工厂
GR-025,story-system,题材路由,知识补充,快穿任务|攻略系统|多世界穿梭|快穿 任务|任务 原主,快穿怎么写|攻略任务怎么写|小世界怎么写|快穿任务原主怎么写,快穿,任务目标和人物情感要双线推进，通关不能只靠剧透。,快穿要让每个小世界有明确任务、限制、情感变量和主线回收价值。,快穿不是换地图重复打脸。每个世界要有独立主题和核心关系，任务约束必须制造选择难题，通关奖励要推进主线身份或记忆。禁止世界模板重复，禁止系统直接给答案。,快穿任务,快穿,攻略系统|小世界|穿梭任务|任务者|原主,任务约束下的情感选择,每个世界开局立目标中段加限制结尾回收主线,小世界重复|系统代替思考|通关奖励无主线价值,人设与关系|金手指与设定|写作技法,桥段套路|爽点与节奏|场景写法,快穿|任务|攻略|原主|系统
GR-026,story-system,题材路由,知识补充,同人衍生|动漫衍生|二创|衍生 同人|同人 原作,同人怎么写|衍生文怎么写|原作角色怎么写|同人OOC怎么控,衍生,尊重原作识别点，改写必须有清晰差异和代价。,衍生文要在原作人设、世界规则和新变量之间保持可识别张力。,同人衍生不能只借名字。原作角色的核心动机、关系和能力边界要可识别，新主线要说明改写点和蝴蝶效应。禁止原作角色全员 OOC，禁止只复述原作剧情。,同人衍生,衍生,同人|二创|动漫衍生|原作|OOC,原作识别点与新变量并行,先稳定原作锚点再放大改写后果,OOC|复述原作|新变量没有蝴蝶效应,人设与关系|场景写法|写作技法,桥段套路|爽点与节奏|金手指与设定,同人|衍生|二创|原作|OOC
